Reaction ID	Reaction	Reaction Name	Reaction Count	Core/Accessory	Subsystem	AA7741AA	AA7751AA	AA7753AA	AA7755AA	AA7793AA	AA7860AA	AA7944AA	AA8014AA	AA8024AA	AA8038AA	AA8054AA	AA8106AA	AA8195AA	AA8229AA	AA8295AA	AA8416AA	AA8427AA	AA8449AA	AA8457AA	AA8459AA	AA8539AA	AA8609AA	AA8611AA	AA9022AA	AA9332AA	AA9918AA	AA9949AA	BA0169AA	BA0332AA	BA0348AA	BA0413AA	BA0427AA	BA0437AA	BA0451AA	BA0550AA	BA0570AA	BA0578AA	BA0596AA	BA0600AA	BA0602AA	BA0626AA	BA0653AA	BA0694AA	BA0733AA	BA0758AA	BA0760AA	BA0985AA	BA1064AA	BA1144AA	BA1635AA	BA1851AA	BA1853AA	BA1871AA	BA2125AA	BA2131AA	BA2167AA	BA2198AA	BA2248AA	BA2272AA	BA2276AA	BA2349AA	BA2353AA	BA2378AA	BA2667AA	BA3422AA	BA3781AA	BA3790AA	BA4061AA	BA4277AA	BA4779AA	BA4922AA	BA5240AA	BA5413AA	BA5516AA	BA5590AA	BA5843AA	BA5926AA	BA5961AA	BA6778AA	BA6788AA	BA6857AA	BA6868AA	BA6960AA	BA7167AA	BA7196AA	BA7425AA	BA7456AA	BA7679AA	BA7692AA	BA8022AA	BA8036AA	BA8462AA	BA8528AA	BA8577AA	BA8657AA	BA8743AA	BA8763AA	BA8818AA	BA8872AA	BA9470AA	BA9473AA	BA9474AA	BA9475AA	BA9476AA	BA9477AA	BA9480AA	BA9481AA	BA9484AA	BA9486AA	BA9488AA	BA9524AA	BA9527AA	BA9532AA	BA9537AA	BA9791AA	BA9850AA	BA9852AA	CA0198AA	CA0238AA	CA0313AA	CA0451AA	CA0506AA	CA0745AA	CA0808AA	CA1105AA	CA1120AA	CA1121AA	CA1139AA	CA1406AA	CA1454AA	CA2097AA	CA2897AA	CA3820AA	CA4623AA	CA4910AA	CA4933AA	CA5757AA	CA6012AA	CA6664AA	CA6771AA	CA6921AA	CA6928AA	CA7713AA	CA7717AA	CA7719AA	CA7723AA	CA7726AA	CA7727AA	CA7731AA	CA7751AA	CA7756AA	CA7760AA	CA9080AA	CA9116AA	DA2112AA	DA7109AA	DA8907AA	EA0159AA	EA1562AA	EA2201AA	EA2216AA	EA2217AA	EA2559AA	EA2562AA	EA2718AA	EA2897AA	EA3365AA	EA6501AA	EA7657AA	EA7668AA	FA3659AA	FA3886AA	FA4067AA	FA5518AA	FA7484AA	FA9168AA	GA3515AA	GA3517AA	GA3518AA	GA3519AA	GA5768AA	GA5776AA	GA5780AA	GA5782AA	GA6008AA	GA7178AA	GA8008AA	GA8009AA	GA8016AA	GA8043AA	GA8055AA	GA8062AA	GA8363AA	GA8366AA	GA8370AA	GA8371AA	HA0272AA	HA0517AA	HA0675AA	HA3034AA	HA3070AA	HA7868AA	HA7882AA	HA7883AA	HA7886AA	HA7888AA	HA8267AA	HA8268AA	IA0046AA	IA1032AA	IA1036AA	IA1037AA	IA1038AA	IA1043AA	IA1467AA	IA1653AA	IA3483AA	IA3485AA	IA7621AA	JA3109AA	KA7216AA	KA7291AA
12PPDt	12ppd__S_e <=> 12ppd__S_c	S-Propane-1,2-diol facilitated transport	149	Accessory	Alternate Carbon Metabolism			1				1				1				1			1	1	1	1	1	1	1					1			1		1	1	1					1			1	1	1			1		1	1					1						1		1		1						1		1	1								1	1	1		1	1					1	1		1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1						1	1	1	1	1			1			1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1
13PPDH	3hppnl_c + h_c + nadh_c <=> nad_c + 13ppd_c	1,3-propanediol dehydrogenase	35	Accessory	Alternate Carbon Metabolism																1			1	1	1																														1																																		1							1								1		1				1			1		1		1																	1																								1				1		1	1	1						1	1					1	1											1				1					1	1	1										1	1	1						1	1		1		1		
13PPDH2	nadph_c + 3hppnl_c + h_c <=> nadp_c + 13ppd_c	1,3-propanediol dehydrogenase	222	Core	Alternate Carbon Metabolism	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13PPDH2_1	h_c + nadph_c + lald__L_c <=> 13ppd_c + nadp_c	1,3-propanediol dehydrogenase	150	Accessory	Alternate Carbon Metabolism			1				1				1				1	1		1	1	1	1	1	1	1					1			1		1	1	1					1			1	1	1			1	1		1					1						1		1		1						1		1	1	1							1	1	1		1	1					1	1		1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1					1	1		1	1	1			1			1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1		1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13PPDtex	13ppd_e <=> 13ppd_p	1,3-propanediol transporter via diffusion (extracellular to periplasm)	1	Accessory	Transport, Outer Membrane																																																																																																																															1																																																																																															
13PPDtpp	13ppd_p <=> 13ppd_c	1,3-propanediol transporter (facilitated diffusion, periplasm)	1	Accessory	Transport, Inner Membrane																																																																																																																															1																																																																																															
14GLUCANabcpp	14glucan_p + atp_c + h2o_c --> h_c + pi_c + adp_c + 14glucan_c	1,4-alpha-D-glucan transport via ABC system (periplasm)	222	Core	Transport, Inner Membrane	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14GLUCANtexi	14glucan_e --> 14glucan_p	1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible	222	Core	Transport, Outer Membrane	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15DAPabcpp	atp_c + h2o_c + 15dap_p --> adp_c + 15dap_c + pi_c + h_c	Cadaverine transport via ABC system  periplasm 	8	Accessory	Transport, Inner Membrane												1																																																																						1																	1							1																								1																																																												1					1																							1				
1P2CBXLCYCL	5a2opntn_c <=> h2o_c + 1p2cbxl_c + h_c	1 Pyrroline 2 carboxylate cyclation	151	Accessory	Alternate Carbon Metabolism		1	1			1	1	1		1		1	1		1			1	1	1	1		1					1	1		1		1		1				1	1						1	1	1		1	1	1				1		1		1	1		1					1		1		1	1				1	1	1		1	1		1	1	1	1	1	1	1				1	1		1		1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1			1	1	1	1	1		1			1	1	1	1		1		1	1	1		1			1	1	1		1	1	1	1	1	1		1	1		1	1	1	1	1	1		1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1			1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1		1		1	1	1		1	1	1	1	1	1	1	1	1	1	1	
1P2CBXLR	1p2cbxl_c + nadph_c + 2.0 h_c --> nadp_c + pro__L_c	Delta1 piperideine 2 carboxylate reductase	221	Accessory	Alternate Carbon Metabolism	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1PPDCRc	1pipdn2c_c + nadph_c + h_c --> nadp_c + Lpipecol_c	L PipecolateNADP 2 oxidoreductase	29	Accessory	Alternate Carbon Metabolism																		1	1	1																															1	1									1				1						1																																								1	1	1											1																			1		1										1														1					1						1				1									1				1										1	1	1	1					1	1			1		1	
23CAMPtex	23camp_e <=> 23camp_p	23cAMP transport via diffusion (extracellular to periplasm)	222	Core	Transport, Outer Membrane Porin	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
23CCMPtex	23ccmp_e <=> 23ccmp_p	23cCMP transport via diffusion (extracellular to periplasm)	222	Core	Transport, Outer Membrane Porin	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
23CGMPtex	23cgmp_e <=> 23cgmp_p	23cGMP transport via diffusion (extracellular to periplasm)	222	Core	Transport, Outer Membrane Porin	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
23CTI1	decoa_c --> dc2coa_c + h_c	Decenyl coa cis trans isomerization  cis dec 3 enoyl CoA 	1	Accessory	Alternate Carbon Metabolism																																																																						1																																																																																																																																																								
23CTI2	dded3coa_c --> dd2coa_c	Dodecenyl coa cis trans isomerization  cis dodec 3 enoyl CoA 	1	Accessory	Alternate Carbon Metabolism																																																																						1																																																																																																																																																								
23CTI3	dd_3_6_coa_c --> dd6_2_coa_c	Cis trans isomerization  cis trans isomerization  3Z 6Z dodec dienoyl CoA 	1	Accessory	Alternate Carbon Metabolism																																																																						1																																																																																																																																																								
